Date	Person	Block	Plot_Nr	VIP_(1)	Species	original_species_in_non_VIP	%weeded	Comments
20200728	Cecile	1	37	0	Hl		0	
20200728	Cecile	1	37	0	Lp		0	
20200728	Cecile	1	37	0	Pt		0	
20200728	Cecile	1	37	0	Am		0	
20200728	Cecile	1	37	0	Cj		0.5	
20200728	Cecile	1	37	0	Cb		0	
20200728	Cecile	1	37	0	To		0.5	
20200728	Cecile	1	37	0	Dc	1	3	
20200728	Cecile	1	37	0	Hs		0	
20200728	Cecile	1	37	0	As		0	
20200728	Cecile	1	37	0	Sp		0	
20200728	Cecile	1	37	0	Pg		0	
20200728	Cecile	1	37	0	Ra		0	
20200728	Cecile	1	37	0	Pm	1	90	
20200728	Cecile	1	37	0	Ga		0.5	
20200728	Cecile	1	38	0	Hp		0	
20200728	Cecile	1	38	0	Be		0	
20200728	Cecile	1	38	0	Ao	1	0	
20200728	Cecile	1	38	0	Dg	1	5	
20200728	Cecile	1	38	0	Fr		0	
20200728	Cecile	1	38	0	Hl		0	
20200728	Cecile	1	38	0	Lp		0	
20200728	Cecile	1	38	0	Pt		0.5	
20200728	Cecile	1	38	0	Am		0	
20200728	Cecile	1	38	0	Cj		0	
20200728	Cecile	1	38	0	Cb		5	
20200728	Cecile	1	38	0	To	1	65	
20200728	Cecile	1	38	0	Dc	1	10	
20200728	Cecile	1	38	0	Hs		0	
20200728	Cecile	1	38	0	As		0	
20200728	Cecile	1	38	0	Sp		0	
20200728	Cecile	1	38	0	Pg		0	
20200728	Cecile	1	38	0	Ra		0	
20200728	Cecile	1	38	0	Pm		2	
20200728	Cecile	1	38	0	Ga		1	
20200728	Cecile	1	39	1	Hp		40	
20200728	Cecile	1	39	1	Lp		0	
20200728	Cecile	1	39	1	Cb		0.5	
20200728	Cecile	1	39	1	Pg		55	
20200728	Cecile	1	40	1	Hp		10	
20200728	Cecile	1	40	1	Hl		4	
20200728	Cecile	1	40	1	Lp		2	
20200728	Cecile	1	40	1	Pt		2	
20200728	Cecile	1	40	1	To		2	
20200728	Cecile	1	40	1	Hs		0	
20200728	Cecile	1	40	1	As		0	
20200728	Cecile	1	40	1	Ra		0	
20200728	Cecile	1	40	1	Ga		95	
20200728	Cecile	1	41	1	Hp		1	
20200728	Cecile	1	41	1	Be		25	
20200728	Cecile	1	41	1	Ao		0	
20200728	Cecile	1	41	1	Fr		2	
20200728	Cecile	1	41	1	Am		55	
20200728	Cecile	1	41	1	Cj		20	
20200728	Cecile	1	41	1	Dc		0	
20200728	Cecile	1	41	1	Pm		1	
20200728	Cecile	1	42	1	Be		10	
20200728	Cecile	1	42	1	Cj		65	
20200728	Cecile	1	42	1	Dc		0	
20200728	Cecile	1	42	1	Pm		15	
20200728	Cecile	1	43	20sp	Hp		1	
20200728	Cecile	1	43	20sp	Hl		1	
20200728	Cecile	1	43	20sp	Am		10	
20200728	Cecile	1	43	20sp	Cj		70	
20200728	Cecile	1	43	20sp	Cb		5	
20200728	Cecile	1	43	20sp	To		6	
20200728	Cecile	1	43	20sp	As		0.5	
20200728	Cecile	1	43	20sp	Sp		8	
20200728	Cecile	1	43	20sp	Pm		2	
20200728	Cecile	1	43	20sp	Ga		13	
20200728	Cecile	1	44	1	Ao		0	
20200728	Cecile	1	44	1	Dg		0	
20200728	Cecile	1	44	1	Hl		10	
20200728	Cecile	1	44	1	Am		15	
20200728	Cecile	1	44	1	As		0	
20200728	Cecile	1	44	1	Pg		55	
20200728	Cecile	1	44	1	Ra		0	
20200728	Cecile	1	44	1	Pm		35	
20200728	Cecile	1	45	1	Be		60	
20200728	Cecile	1	46	1	Hp		6	
20200728	Cecile	1	46	1	Ao		0	
20200728	Cecile	1	46	1	Fr		4	
20200728	Cecile	1	46	1	Am		70	
20200728	Cecile	1	47	1	Pg		100	
20200729	Cecile	1	48	1	Dg		2	
20200729	Cecile	1	48	1	Hl		0.5	
20200729	Cecile	1	48	1	Pt		0	
20200729	Cecile	1	48	1	Cb		25	
20200729	Cecile	1	48	1	To		12	
20200729	Cecile	1	48	1	Hs		0	
20200729	Cecile	1	48	1	As		0	
20200729	Cecile	1	48	1	Ga		15	
20200729	Cecile	1	49	1	Hp		2	
20200729	Cecile	1	49	1	Hl		20	
20200729	Cecile	1	49	1	To		9	
20200729	Cecile	1	49	1	Dc		0	
20200729	Cecile	1	49	1	Hs		0	
20200729	Cecile	1	49	1	As		0	
20200729	Cecile	1	49	1	Pg		45	
20200729	Cecile	1	49	1	Pm		25	
20200729	Cecile	1	50	1	Hp		15	
20200729	Cecile	1	50	1	Be		2	
20200729	Cecile	1	50	1	Ao		0	
20200729	Cecile	1	50	1	Fr		2	
20200729	Cecile	1	50	1	Am		10	
20200729	Cecile	1	50	1	Dc		0	
20200729	Cecile	1	50	1	Sp		40	
20200729	Cecile	1	50	1	Pm		30	
20200729	Cecile	1	51	0	Hp		0	
20200729	Cecile	1	51	0	Be	1	2	
20200729	Cecile	1	51	0	Ao		0	
20200729	Cecile	1	51	0	Dg		0	
20200729	Cecile	1	51	0	Fr	1	2	
20200729	Cecile	1	51	0	Hl		0.5	
20200729	Cecile	1	51	0	Lp		0	
20200729	Cecile	1	51	0	Pt		0	
20200729	Cecile	1	51	0	Am	1	30	
20200729	Cecile	1	51	0	Cj	1	50	
20200729	Cecile	1	51	0	Cb		1	
20200729	Cecile	1	51	0	To		0	
20200729	Cecile	1	51	0	Dc	1	0	
20200729	Cecile	1	51	0	Hs		0	
20200729	Cecile	1	51	0	As		0	
20200729	Cecile	1	51	0	Sp	1	40	
