Block	Plot_Nr	N	F	SD	FD	composition
2	109	0	1	4	S	48S
2	110	0	1	8	M	82M
2	111	1	1	4	M	43M
2	112	0	1	4	S	46S
2	113	1	1	1	F	Cb
2	114	0	0	1	F	Pt
2	115	1	1	1	F	To
2	116	1	0	4	F	410F
2	117	0	0	20	M	203
2	118	0	0	8	S	86S
2	119	0	0	1	F	As
2	120	0	1	8	S	82S
2	121	0	1	1	S	Hp
2	122	0	0	8	M	89M
2	123	0	0	8	M	85M
2	124	1	1	4	S	45S
2	125	0	0	8	S	83S
2	126	0	1	1	S	Sp
2	127	0	1	4	S	41S
2	128	1	1	4	S	47S
2	129	0	0	1	F	Dg
2	130	1	0	1	F	Hl
2	131	1	0	8	F	810F
2	132	1	0	8	F	85F
2	133	1	1	4	S	49S
2	134	0	1	1	S	Am
2	135	0	0	8	F	87F
2	136	0	0	8	F	83F
2	137	1	0	4	M	410M
2	138	0	0	4	M	48M
2	139	1	1	4	F	48F
2	140	0	1	4	F	43F
2	141	0	1	8	S	85S
2	142	1	0	4	F	46F
2	143	1	0	4	M	42M
2	144	1	1	4	M	49M
2	145	1	1	4	M	47M
2	146	1	1	1	F	Ga
2	147	1	1	8	M	81M
2	148	0	1	1	S	Be
2	149	1	1	4	S	42S
2	150	1	1	8	S	87S
2	151	1	1	4	M	46M
2	152	1	1	4	M	45M
2	153	1	1	8	S	89S
2	154	0	1	8	F	84F
2	155	0	0	8	S	88S
2	156	1	0	1	F	Hs
2	157	1	1	4	S	410S
2	158	0	1	20	M	202
2	159	0	0	4	F	42F
2	160	0	0	4	S	44S
2	161	0	0	8	F	88F
2	162	1	1	8	S	810S
2	163	1	1	8	M	86M
2	164	0	1	1	S	Pm
2	165	0	1	4	F	47F
2	166	1	1	20	M	201
2	167	0	1	1	F	Ra
2	168	0	1	4	M	44M
3	169	0	1	1	F	Dg
3	170	1	0	8	M	84M
3	171	0	1	20	M	201
3	172	1	0	4	M	49M
3	173	1	1	4	S	46S
3	174	1	0	8	S	82S
3	175	0	1	4	S	47S
3	176	1	0	1	S	Dc
3	177	1	0	8	F	88F
3	178	1	0	1	S	Pm
3	179	1	0	4	M	44M
3	180	1	0	8	S	88S
3	181	1	0	4	S	42S
3	182	0	1	1	F	Ga
3	183	1	0	8	F	83F
3	184	1	1	4	F	43F
3	185	1	1	8	M	89M
3	186	1	1	8	S	85S
3	187	0	1	8	M	81M
3	188	1	0	4	F	47F
3	189	1	1	8	M	82M
3	190	1	1	20	M	203
3	191	0	1	4	M	410M
3	192	1	1	8	F	86F
3	193	0	1	4	M	46M
3	194	0	0	4	M	42M
3	195	1	1	4	M	48M
3	196	1	1	8	F	84F
3	197	1	1	1	F	Lp
3	198	0	0	1	S	Sp
3	199	0	0	1	S	Fr
3	200	0	0	4	F	46F
3	201	1	0	4	S	410S
3	202	1	0	1	F	Cb
3	203	1	0	8	S	84S
3	204	1	0	8	S	83S
3	205	0	1	8	F	81F
3	206	0	1	8	F	87F
3	207	0	0	4	M	41M
3	208	1	1	4	S	41S
3	209	0	1	4	S	43S
3	210	1	0	1	F	As
3	211	0	0	8	S	81S
3	212	0	1	1	F	To
3	213	0	0	8	S	89S
3	214	0	1	4	F	45F
3	215	1	0	4	M	45M
3	216	1	0	1	S	Hp
3	217	1	1	8	M	85M
3	218	0	0	4	F	49F
3	219	0	0	1	F	Hl
3	220	1	1	4	F	410F
3	221	0	1	4	F	48F
3	222	1	1	8	M	87M
3	223	1	1	4	S	44S
3	224	1	0	1	S	Be
3	225	0	1	4	S	45S
3	226	0	0	4	M	47M
3	227	1	0	8	S	810S
3	228	1	0	8	F	82F
3	229	1	1	1	S	Am
3	230	0	1	8	S	87S
3	231	1	0	8	M	83M
3	232	1	0	1	F	Pt
3	233	1	1	20	M	202
3	234	1	1	1	S	Cj
3	235	0	0	4	F	41F
3	236	0	1	8	M	88M
3	237	1	1	4	F	42F
3	238	1	0	4	M	43M
3	239	1	0	4	F	44F
3	240	1	0	8	M	86M
3	241	1	0	8	M	810M
3	242	0	0	1	S	Ao
3	243	0	0	8	F	89F
3	244	1	1	4	S	48S
3	245	1	0	4	S	49S
3	246	1	1	8	F	810F
3	247	0	0	20	M	204
3	248	1	1	1	F	Ra
3	249	0	0	8	F	85F
3	250	0	0	1	S	Pg
3	251	1	1	1	F	Hs
3	252	0	1	8	S	86S
4	253	0	0	4	M	45M
4	254	0	1	8	S	84S
4	255	0	0	4	F	48F
4	256	0	0	4	S	48S
4	257	0	1	4	S	49S
4	258	0	0	8	S	82S
4	259	0	0	4	F	410F
4	260	1	1	4	M	410M
4	261	0	0	4	F	47F
4	262	1	1	1	S	Pg
4	263	0	0	8	F	81F
4	264	0	1	4	M	43M
4	265	0	0	4	M	46M
4	266	1	0	4	S	41S
4	267	1	1	8	F	87F
4	268	1	0	8	M	87M
4	269	1	0	8	M	89M
4	270	1	1	4	F	44F
4	271	1	1	8	S	83S
4	272	1	0	4	S	46S
4	273	1	0	4	M	41M
4	274	1	1	1	S	Pm
4	275	1	0	1	S	Fr
4	276	0	1	8	M	85M
4	277	0	0	8	F	86F
4	278	0	1	1	S	Ao
4	279	1	0	1	S	Sp
4	280	0	0	8	M	88M
4	281	0	0	1	S	Am
4	282	0	1	8	S	88S
4	283	1	1	4	M	42M
4	284	0	0	4	S	45S
4	285	0	1	8	S	810S
4	286	0	0	1	F	Cb
4	287	0	1	4	F	49F
4	288	1	0	8	S	89S
4	289	1	0	4	F	42F
4	290	0	0	20	M	202
4	291	1	0	8	M	82M
4	292	0	1	1	F	Pt
4	293	0	0	8	M	81M
4	294	0	1	1	F	Lp
4	295	0	1	20	M	203
4	296	1	1	4	F	45F
4	297	1	1	4	F	46F
4	298	1	1	1	F	Dg
4	299	0	1	1	F	Hl
4	300	0	0	8	F	810F
4	301	1	1	8	F	85F
4	302	1	1	4	M	44M
4	303	0	0	8	M	84M
4	304	0	0	8	F	82F
4	305	1	0	4	F	41F
4	306	0	1	8	M	86M
4	307	1	1	8	S	81S
4	308	1	0	20	M	201
4	309	0	1	4	S	410S
4	310	0	1	4	M	48M
4	311	0	0	8	F	84F
4	312	0	1	4	S	42S
4	313	0	0	1	F	Ra
4	314	1	0	4	S	44S
4	315	1	1	1	F	As
4	316	0	0	4	S	47S
4	317	0	1	8	F	89F
4	318	0	0	1	F	To
4	319	1	0	4	M	47M
4	320	1	1	8	S	86S
4	321	0	1	1	S	Dc
4	322	0	0	4	M	49M
4	323	1	1	8	F	83F
4	324	0	0	8	S	85S
4	325	0	1	8	M	83M
4	326	1	0	4	F	43F
4	327	1	0	1	S	Cj
4	328	0	1	20	M	204
4	329	0	0	1	F	Hs
4	330	1	1	1	S	Hp
4	331	0	0	4	S	43S
4	332	1	1	8	F	88F
4	333	1	1	8	M	810M
4	334	0	0	1	F	Ga
4	335	0	0	1	S	Be
4	336	1	0	8	S	87S
